,claim,year_of_publish,month_of_publish,day_of_publish,truth_value,Unnamed: 0
1385,"""There are more oil rigs in operation in the United States than the rest of the world combined.""",2012,October,16,meter-false,1385.0
1386,"Massachusetts Sen. Scott Brown shows someone can be bipartisan in Congress because he ""votes about 66 percent with his own party.""",2012,October,16,meter-true,1386.0
1387,"Says the Obama administration ""watered down sanctions"" against Iran, delayed them and tried to stop Congress ""from putting the tough sanctions in place.""",2012,October,11,meter-mostly-false,1387.0
1388,"The Obama administration ""called Bashar Assad a reformer when he was turning his Russian-provided guns on his own people.""",2012,October,11,meter-half-true,1388.0
1389,Says Romney called Russia our No. 1 enemy.,2012,September,6,meter-mostly-true,1389.0
1390,"In his first TV interview as president, Obama said we ""should talk to Iran.""",2012,August,30,meter-true,1390.0
1391,"President Barack Obama has ""weakened the respect for America abroad.""",2012,August,30,meter-mostly-false,1391.0
1392,Says U.S. is giving seven Alaskan islands to Russia.,2012,May,16,meter-false,1392.0
1393,"""For his first interview as president, Barack Obama chose Arab TV for an apology.""",2012,July,4,meter-mostly-false,1393.0
1394,"""When we took office, let me remind you, there was virtually no international pressure on Iran.""",2012,May,8,meter-false,1394.0
1395,"""The United States imprisons more than any nation in the world.""",2012,April,18,meter-half-true,1395.0
1396,"At the same time gas prices have increased, ""the share of the oil market controlled by speculators has more than doubled over the past 10 years.""",2012,April,15,meter-half-true,1396.0
1397,"""Obama tells Russia that he'll turn over America's defense system to them if re-elected.""",2012,March,26,tom_ruling_pof,1397.0
1398,"The U.S. has a ""record number of oil rigs operating right now – more working oil and gas rigs than the rest of the world combined.""",2012,February,23,meter-half-true,1398.0
1399,"""This president ... could have gotten crippling sanctions against Iran. He did not.""",2012,February,22,meter-mostly-false,1399.0
1400,"""You look at defense … we're spending more than the rest of the world combined.""",2011,December,12,meter-mostly-false,1400.0
1401,"The United States ""is number one in the world in energy resources; Russia is number two.""",2011,December,7,meter-true,1401.0
1402,Says military expenditures for the United States are greater than the combined spending of the next 14 largest nations.,2011,November,18,meter-true,1402.0
1403,"""When you sanction the Iranian central bank, that will shut down (Iran's) economy.""",2011,November,22,meter-half-true,1403.0
1404,"The United States' regulations ""are among the most difficult in the world.""",2011,November,14,meter-false,1404.0
1405,"The United States sends ""$300 billion -- half our trade deficit -- overseas for oil to unstable and unfriendly regimes.""",2011,November,1,meter-half-true,1405.0
1406,"China is ""trying to develop nuclear capability.""",2011,October,31,tom_ruling_pof,1406.0
1407,"""According to Wikipedia, there are only five countries in the entire planet that are more unequal than the United States in the distribution of our wealth.""",2011,October,10,meter-true,1407.0
1408,"""The United States is the No. 1 country in the world for energy resources. … We are the king daddy dogs when it comes to energy.""",2011,August,27,meter-half-true,1408.0
1409,"""From now on, we have to pay the Russians $50 million an astronaut to send Americans to the space station""",2011,July,7,meter-mostly-true,1409.0
1410,"Says President Obama ""has fired more cruise missiles than all other Peace Prize winners combined.""",2011,June,15,meter-true,1410.0
1411,"""Who are the most consistently misinformed media viewers? … Fox viewers, consistently, every poll.""",2011,June,19,meter-false,1411.0
1412,"""We are number one in the world when it comes to energy resources. ... The Russians are second; Saudi Arabia is number three.""",2011,June,14,meter-true,1412.0
1413,"""Anywhere in the world, when someone uses a mobile phone, e-mail, the Internet or GPS, they are enjoying the benefits of the American miracle.""",2011,June,14,meter-mostly-true,1413.0
1414,"Says the United States is ""the Saudi Arabia of coal.""",2011,May,20,meter-mostly-true,1414.0
1415,Says President Franklin Delano Roosevelt sent his advisers to study socialism with Soviet dictator Josef Stalin so the president could replicate it in the United States.,2011,April,12,meter-false,1415.0
1416,"""Foreign aid makes up about 1 percent of our entire budget.""",2011,April,13,meter-true,1416.0
1417,"""Libya supplies the oil for China. We get no oil from Libya.""",2011,April,4,meter-false,1417.0
1418,South Korea doesn't pay the United States for U.S. troops that protect their country.,2011,March,23,meter-false,1418.0
1419,"""American troops have never been under the formal control of another nation.""",2011,March,23,meter-false,1419.0
1420,"The U.S. gives foreign aid to Cuba and Venezuela, even though those countries are our enemies.",2011,February,9,meter-false,1420.0
1421,"""Hitler didn't want unions. Stalin didn't want unions. Mubarak didn't want independent unions. These autocrats in history don't want independent unions.""",2011,March,3,meter-true,1421.0
1422,"""The president promised to close the space gap, but he now seems intent on repeating the events that created the space gap in the first place -- putting in place a new rocket design and then trying to underfund the effort...""",2011,February,14,meter-mostly-true,1422.0
1423,"""Senator Webb was a reliable vote for President Obama and Senator Harry Reid.""",2011,February,9,meter-true,1423.0
1424,"The United States is ""the only developed country in the world that has not cut its corporate tax rate.""",2011,February,11,meter-half-true,1424.0
1425,"Under Hosni Mubarak's rule, ""Egypt received more American dollars than any country besides Israel.""",2011,January,30,meter-true,1425.0
1426,"Federal Reserve policies have led to a 69 percent rise in corn prices, 44 percent rise in wheat prices and 15 percent spike in sugar prices over the last year.",2011,January,27,meter-mostly-false,1426.0
1427,"""The New START treaty was passed despite significant concerns among some people in the State and Defense Departments.""",2011,January,25,meter-mostly-false,1427.0
1428,"""On average, Americans spend less than 10 percent of their disposable income on food. Compare that to folks in Mexico, who spend 22 percent, China, 28 percent and Russia, 37 percent.""",2010,December,29,meter-mostly-true,1428.0
1429,"Said the Washington Post argued that a failure to pass the START treaty this year would be ""no calamity,"" and that the Associated Press said ""the administration concedes the security risk is not immediate.""",2010,November,28,meter-half-true,1429.0
1430,"""We're the only system of federalism in the world.""",2010,November,9,meter-false,1430.0
1431,"The United States accounted for 26 percent of worldwide military spending during the Cold War, but now accounts for 41 percent.",2010,July,7,meter-half-true,1431.0
1432,"Georgia is ""the Saudi Arabia of pine trees.""",2010,July,20,meter-mostly-false,1432.0
1433,"The U.S. ""only ranks 25th worldwide on defense spending as a percentage of GDP.""",2010,June,30,meter-mostly-false,1433.0
1434,"The U.S. spends $4 billion on research and development for energy, while spending $350 billion on oil from foreign countries, ""many of whom are our enemies.""",2010,June,22,meter-half-true,1434.0
1435,"The White House has ""refused"" international help in dealing with the oil spill.",2010,June,16,meter-mostly-false,1435.0
1436,"""Brazil got off oil in the last 30 years.""",2010,May,2,meter-false,1436.0
1437,"""If the space-shuttle program is terminated, Russia and China will be the only nations ...with the capability to launch humans into space.""",2010,April,3,meter-true,1437.0
1438,"Several times, Obama ""has apologized for what he deems to be American arrogance, dismissiveness, and derision; for dictating solutions, for acting unilaterally ... .""",2010,March,2,meter-false,1438.0
1439,"""Crist stays in $2,000 a night luxury hotel suites where he racks up $1,300 in mini-bar charges, and doesn't pay for a dime of it himself.""",2010,March,4,meter-half-true,1439.0
1440,"A president must ""obtain Congress' consent before formally accepting the Nobel Prize.""",2009,October,26,meter-mostly-false,1440.0
1441,"The Obama administration notified Poland and the Czech Republic about cancellation of major missile-defense facilities ""at the last minute in midnight phone calls.""",2009,October,21,meter-true,1441.0
1442,"In a now-viral video, ""impressionable youngsters at a public school in New Jersey ... have been instructed to sing the praises of 'Barack Hussein Obama.'""",2009,September,25,meter-true,1442.0
1443,"""Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal.""",2009,September,22,meter-mostly-true,1443.0
1444,"""Obama has more czars than the Romanovs.""",2009,May,30,meter-true,1444.0
1445,"""The nuclear test conducted in our nation this time is the Earth's 2,054th nuclear test. The five permanent members of the U.N. Security Council have conducted 99.99 percent of the total nuclear tests.""",2009,May,29,meter-true,1445.0
1446,"""Venezuela is a country whose defense budget is probably 1/600th of the United States.""",2009,April,19,meter-mostly-true,1446.0
1447,"""Secretary Geithner has left the option on the table"" of abandoning the dollar for a multinational currency.",2009,March,25,meter-false,1447.0
1448,"""In eighth grade math, we’ve fallen to ninth place.""",2009,March,10,meter-false,1448.0
1449,"Energy nominee Steven Chu has called coal ""his worst nightmare.""",2008,December,15,meter-mostly-true,1449.0
1450,"The U.S. energy policy is to ""borrow money from China to buy oil from countries that don't like us.""",2008,August,26,meter-half-true,1450.0
